imdb_id,title,soup
tt0113118,Friday,rapmus parentchildrelationship rapper job icecube christucker nialong f.garygray f.garygray f.garygray comedy
tt0116367,From Dusk Till Dawn,danc brotherbrotherrelationship sexualobsess showdown sheriff erotic nuditi bankrobb vampir holywat sieg stripper priest explos extremeviol bankrobberi preacher hostagesitu crucifix recreationalvehicl bloodspurt conveniencestor femalevampir georgeclooney quentintarantino harveykeitel robertrodriguez robertrodriguez robertrodriguez horror action thriller crime
tt0113010,Fair Game,bomb miami sex detect handcuff basedonnovel hostag fbi kidnap russian kgb chase sadism parkinggarag pizza policeprotect psychopath remak carcrash conspiraci ontherun fugit shootout gunfight sadist footchas policedetect policest carchas heldatgunpoint fbiag doublecross cultfilm computerhack machinegun swatteam grenadelaunch underwaterscen rogueag damselindistress williambaldwin cindycrawford stevenberkoff andrewsipes andrewsipes andrewsipes action thriller romance
tt0113537,Kicking and Screaming,colleg joshhamilton oliviad'abo carlosjacott noahbaumbach noahbaumbach noahbaumbach comedy drama romance
tt0113828,Les Miserables,pari nun boxer lawyer jewish jean-paulbelmondo michelboujenah alessandramartines claudelelouch claudelelouch claudelelouch drama history
tt0115644,Bed of Roses,florist familyrelationship christianslater marystuartmasterson pamelaadlon michaelgoldenberg michaelgoldenberg michaelgoldenberg drama romance
tt0114367,Screamers,manvsmachin alienplanet struggleforsurviv peterweller roydupuis jenniferrubin christianduguay christianduguay christianduguay horror sciencefiction
tt0113973,Nico Icon,nico tinaaumont jacksonbrowne susanneofteringer susanneofteringer susanneofteringer documentary
tt0112744,The Crossing Guard,lossofdaught reveng suspens independentfilm tragedi jacknicholson davidmorse anjelicahuston seanpenn seanpenn seanpenn drama thriller
tt0116731,The Juror,juror blackmail courtcas son trial courtroom demimoore alecbaldwin josephgordon-levitt briangibson briangibson briangibson drama thriller
tt0112445,The White Balloon,fish money celebr aidamohammadkhani mohsenkafili fereshtehsadreorafaiy jafarpanahi jafarpanahi jafarpanahi family drama
tt0114660,Things to Do in Denver When You're Dead,fathersonrelationship bountyhunt boat wayoflif coffin denver godmoth paranoia hitman friendship psychopath reveng murder independentfilm mafia diner blood gangster violenc illegalprostitut extramaritalaffair andygarcía christopherlloyd williamforsythe garyfleder garyfleder garyfleder drama crime
tt0112379,Antonia's Line,suicid underdog freelov philosophi rape mentallydis lossofmoth villagelif worldwarii femin indiansummer familyhistori widow peasant villag mathemat freedom rightandjustic singl homosexu motherdaughterrelationship domesticviol univers womandirector willekevanammelrooy elsdottermans doravandergroen marleengorris marleengorris marleengorris drama comedy
tt0114039,Once Upon a Time... When We Were Colored,"racialsegreg familyrelationship ruralset africanamerican alfreeman,jr. phyliciarashād paulakelly timreid timreid timreid romance drama"
tt0113612,Last Summer in the Hamptons,victoriafoyt vivecalindfors jonrobinbaitz henryjaglom henryjaglom henryjaglom
tt0112365,Angels and Insects,classsocieti richwoman-poorman scientist naturalist insect markrylance kristinscottthomas patsykensit philiphaas philiphaas philiphaas drama romance
tt0118158,White Squall,sailingtrip diari sail surviv comingofag teenageboy disciplin shipcaptain caribbean malebond seasick stormatsea 1960s jeffbridges carolinegoodall johnsavage ridleyscott ridleyscott ridleyscott action drama
tt0116151,Dunston Checks In,boss fistfight bulli orangutan jasonalexander fayedunaway ericlloyd kenkwapis kenkwapis kenkwapis adventure comedy family
tt0115697,Black Sheep,doubleact politicalsatir crookedpolitician womandirector chrisfarley davidspade grantheslov penelopespheeris penelopespheeris penelopespheeris comedy
tt0113972,Nick of Time,assassin trainstat polit losangel johnnydepp courtneychase charless.dutton johnbadham johnbadham johnbadham crime drama thriller
tt0117002,Mary Reilly,servant monster laboratori jekyllandhyd 19thcenturi juliaroberts johnmalkovich georgecole stephenfrears stephenfrears stephenfrears drama horror thriller romance
tt0114825,Vampire in Brooklyn,vampir halfvampir eddiemurphy angelabassett allenpayne wescraven wescraven wescraven comedy horror romance
tt0115639,Beautiful Girls,hometown mattdillon noahemmerich annabethgish teddemme teddemme teddemme comedy drama romance
tt0115759,Broken Arrow,helicopt river captain underground mexicanstandoff countdown pilot fistfight canyon major betray gunfight train explos desert militari box abandonedmin johntravolta christianslater samanthamathis johnwoo johnwoo johnwoo action adventure drama thriller
tt0113403,A Midwinter's Tale,play hamlet christma actor richardbriers joancollins michaelmaloney kennethbranagh kennethbranagh kennethbranagh comedy
tt0113247,La Haine,pari neo-nazi skinhead robberi policebrut hip-hop gun sociallydeprivedfamili breakdanc arabian boredom reveng suburb violenc policeoffic unemploy captur xenophobia vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz mathieukassovitz mathieukassovitz drama
tt0111173,Shopping,sadiefrost judelaw seanpertwee paulw.s.anderson paulw.s.anderson paulw.s.anderson action adventure drama sciencefiction thriller
tt0113283,Heidi Fleiss: Hollywood Madam,narrat hollywood prostitut nickbroomfield heidifleiss madamalex nickbroomfield nickbroomfield nickbroomfield documentary
tt0115907,City Hall,corrupt undercov warondrug mayor drugdeal presidentialelect undercoverag investig polic drug alpacino johncusack bridgetfonda haroldbecker haroldbecker haroldbecker drama thriller
tt0115734,Bottle Rocket,brotherbrotherrelationship robberi burglar languagebarri motel independentfilm psychiatrichospit maid theft nervousbreakdown escapad lukewilson owenwilson lumicavazos wesanderson wesanderson wesanderson comedy crime drama
tt0117102,Mr. Wrong,ellendegeneres billpullman joancusack nickcastle nickcastle nickcastle comedy romance
tt0118040,Unforgettable,wifehusbandrelationship experi polic murder suspens memori forens gunman animalexperiment rayliotta lindafiorentino petercoyote johndahl johndahl johndahl drama mystery sciencefiction thriller
tt0116483,Happy Gilmore,lossofmoth lossoffath golf sport tax adamsandler benstiller christophermcdonald dennisdugan dennisdugan dennisdugan comedy
tt0112579,The Bridges of Madison County,farewel adulteri loveatfirstsight photograph wifehusbandrelationship iowa loveofone'slif motherrol bridg housewif lovelett peasant marriagecrisi photographi unsoci secretlov merylstreep clinteastwood anniecorley clinteastwood clinteastwood clinteastwood drama romance
tt0117110,Muppet Treasure Island,island pirategang puppet treasurehunt timcurry kevinbishop jennifersaunders brianhenson brianhenson brianhenson action comedy music family adventure
tt0112646,Catwalk,christyturlington azzedinealaïa giorgioarmani robertleacock robertleacock robertleacock documentary
tt0112573,Braveheart,individu scotland inlovewithenemi legend independ ideal revolt tyranni melgibson catherinemccormack sophiemarceau melgibson melgibson melgibson action drama history war
tt0075314,Taxi Driver,vietnamveteran taxi obsess drugdeal nightshift vigilant alien misanthrop shottodeath illegalprostitut loner robertdeniro cybillshepherd harveykeitel martinscorsese martinscorsese martinscorsese crime drama
tt0113326,Rumble in the Bronx,newyork martialart supermarket gangwar gang wed diamond bronx duringcreditssting jackiechan anitamui françoiseyip stanleytong stanleytong stanleytong crime action comedy thriller
tt0115645,Before and After,merylstreep liamneeson edwardfurlong barbetschroeder barbetschroeder barbetschroeder drama thriller
tt0113774,Margaret's Museum,mine dancelesson coalmin bagpip helenabonhamcarter cliverussell craigolejnik mortransen mortransen mortransen drama
tt0112373,Anne Frank Remembered,fascism auschwitz typhus victim interview prejudic burglari rabbit kennethbranagh glennclose jonblair jonblair jonblair documentary drama foreign
tt0115033,The Young Poisoner's Handbook,londonengland poison basedontruestori murder serialkil mentalinstitut teenag psychiatrist tobiasarnold ruthsheen rogerlloydpack benjaminross benjaminross benjaminross comedy crime drama
tt0116606,If Lucy Fell,roommat singl love independentfilm bestfriend brooklynbridg sarahjessicaparker ellemacpherson scarlettjohansson ericschaeffer ericschaeffer ericschaeffer comedy romance
tt0114536,Steal Big Steal Little,brotherbrotherrelationship twinbroth lawyer estat andygarcía alanarkin rachelticotin andrewdavis andrewdavis andrewdavis comedy drama
tt0106473,The Boys of St. Vincent,henryczerny johnnymorina briandooley johnn.smith johnn.smith johnn.smith drama
tt0103859,Boomerang,roleofwomen ladykil success ladies'man casanova woman eddiemurphy robingivens halleberry reginaldhudlin reginaldhudlin reginaldhudlin comedy romance
tt0109424,Chungking Express,ex-girlfriend drugsmuggl girlfriend snackbar romanc hongkong flightattend brigittelin tonyleungchiu-wai fayewong wongkar-wai wongkar-wai wongkar-wai drama comedy romance
tt0114808,The Star Maker,sergiocastellitto tizianalodato francoscaldati giuseppetornatore giuseppetornatore giuseppetornatore drama romance
tt0116324,Flirting with Disaster,lsd lookingforbirthpar half-broth independentfilm benstiller patriciaarquette téaleoni davido.russell davido.russell davido.russell comedy romance
tt0110647,The Neverending Story III: Escape from Fantasia,fli magic jasonjamesrichter melodykay kevinmcnulty petermacdonald petermacdonald petermacdonald fantasy
tt0114131,Pie in the Sky,joshcharles anneheche johngoodman bryangordon bryangordon bryangordon comedy romance
tt0112364,Angela,independentfilm womandirector mirandarhyne charlotteeveblythe annalevine rebeccamiller rebeccamiller rebeccamiller comedy drama
tt0113107,Frankie Starlight,boy writer ireland flashback mattdillon corbanwalker gabrielbyrne michaellindsay-hogg michaellindsay-hogg michaellindsay-hogg drama romance war
tt0113451,Jade,callgirl sanfrancisco investig murder davidcaruso lindafiorentino chazzpalminteri williamfriedkin williamfriedkin williamfriedkin action thriller mystery romance
tt0116130,Down Periscope,submarin u.s.navi misfit kelseygrammer laurenholly robschneider davids.ward davids.ward davids.ward comedy
tt0113756,Man of the Year,homosexu independentfilm mockumentari dirkshafer marystein claudettesutherland dirkshafer dirkshafer dirkshafer comedy
tt0118055,Up Close & Personal,skabundertv foran nederstehyld robertredford michellepfeiffer stockardchanning jonavnet jonavnet jonavnet drama romance
tt0115685,The Birdcage,gay dragqueen homophobia florida comingout senat politician lgbt crossdress 1990s robinwilliams genehackman nathanlane mikenichols mikenichols mikenichols comedy
tt0112585,The Brothers McMullen,love independentfilm bestfriend truelov irishcathol sharialbert maxinebahns catharinebolz edwardburns edwardburns edwardburns comedy drama romance
tt0112442,Bad Boys,miami detect handcuff airport mexicanstandoff stripclub witnessprotect carcrash internalaffair gunfight explos brutal footchas carchas druglord actionhero corruptcop willsmith martinlawrence téaleoni michaelbay michaelbay michaelbay action comedy crime thriller
tt0112342,The Amazing Panda Adventure,china panda poacher stephenlang ryanslater yiding christophercain christophercain christophercain action adventure drama family
tt0112461,The Basketball Diaries,sport basketbal addict friend drug leonardodicaprio lorrainebracco jamesmadio scottkalvert scottkalvert scottkalvert drama crime
tt0112427,An Awfully Big Adventure,england basedonnovel 1940s alanrickman hughgrant georginacates mikenewell mikenewell mikenewell romance drama comedy
tt0109093,Amateur,independentfilm isabellehuppert martindonovan elinalöwensohn halhartley halhartley halhartley crime comedy drama thriller
tt0112384,Apollo 13,moon florida nasa spaceman raceagainsttim basedontruestori space rescu surviv disast explos astronaut imax courag tomhanks billpaxton kevinbacon ronhoward ronhoward ronhoward drama
tt0114287,Rob Roy,scotland biographi 18thcenturi liamneeson jessicalange johnhurt michaelcaton-jones michaelcaton-jones michaelcaton-jones adventure
tt0112288,The Addiction,newyork philosophi vampir blood student violenc lilitaylor christopherwalken annabellasciorra abelferrara abelferrara abelferrara drama horror
tt0112462,Batman Forever,riddl dccomic rose gothamc partner superhero robin brokenneck psychologist violenc crimin districtattorney millionair tiedup tommygun knockedout superpow disfigur fatherfigur valkilmer tommyleejones jimcarrey joelschumacher joelschumacher joelschumacher action crime fantasy
tt0061395,Belle de Jour,prostitut adulteri doublelif dualident jealousi wifehusbandrelationship brothel dream women'ssexualident fantasi masoch independentfilm catherinedeneuve michelpiccoli jeansorel luisbuñuel luisbuñuel luisbuñuel drama romance
tt0112495,Beyond Rangoon,burma doctor patriciaarquette francesmcdormand uaungko johnboorman johnboorman johnboorman drama thriller
tt0112541,Blue in the Face,smoke cornershop cigarett tobacco cigar independentfilm harveykeitel loureed michaelj.fox paulauster paulauster paulauster comedy
tt0109370,Canadian Bacon,johncandy alanalda rheaperlman michaelmoore michaelmoore michaelmoore action comedy
tt0112642,Casper,halloween friendship supernatur afterlif friend danger ghost disord younghero imaginari supernatural christinaricci billpullman cathymoriarty bradsilberling bradsilberling bradsilberling fantasy comedy family
tt0112688,Clockers,drugpush train drug druglord harveykeitel johnturturro delroylindo spikelee spikelee spikelee mystery crime drama
tt0112715,Congo,gorilla kongo diamondmin diamond lauralinney dylanwalsh erniehudson frankmarshall frankmarshall frankmarshall action adventure drama mystery sciencefiction thriller
tt0112740,Crimson Tide,submarin mutini russia missil nuclearmissil embassi u.s.navi battleforpow torpedo militari moraldilemma aircraftcarri denzelwashington genehackman mattcraven tonyscott tonyscott tonyscott action thriller drama
tt0109508,Crumb,underground biographi art robertcrumb alinekominsky charlescrumb terryzwigoff terryzwigoff terryzwigoff documentary
tt0112851,Desperado,gunsling antiterror ambush mexico showdown guitar nuditi hitman bartend reveng tragichero shootout explos extremeviol brutal druglord legbrac flashback antoniobanderas salmahayek joaquimdealmeida robertrodriguez robertrodriguez robertrodriguez thriller action crime
tt0112857,Devil in a Blue Dress,jazzclub murder losangel privatedetect filmnoir neo-noir denzelwashington tomsizemore jenniferbeals carlfranklin carlfranklin carlfranklin drama mystery thriller
tt0112864,Die Hard: With a Vengeance,bomb taxi riddl robberi detect helicopt gold subway ship fistfight polic sequel decept shootout newyorkc explos violenc carchas fbiag flashback aqueduct actionhero brucewillis jeremyirons samuell.jackson johnmctiernan johnmctiernan johnmctiernan action thriller
tt0112887,The Doom Generation,sex erotic nuditi nazi suspens drifter voyeur rosemcgowan jamesduval johnathonschaech greggaraki greggaraki greggaraki action comedy crime drama
tt0113044,Feast of July,embethdavidtz tombell gemmajones christophermenaul christophermenaul christophermenaul drama crime
tt0113071,First Knight,camelot knight kingarthur knightsoftheroundt seanconnery richardgere juliaormond jerryzucker jerryzucker jerryzucker action adventure drama romance
tt0113114,Free Willy 2 - The Adventure Home,humananimalrelationship whale killerwhal jasonjamesrichter michaelmadsen jayneatkinson dwighth.little dwighth.little dwighth.little adventure
tt0113243,Hackers,femalenud hacker nuditi computervirus virtualr comput sexualfantasi prank internet cyberpunk teenag newyorkc secretservic computerhack dreamsequ jonnyleemiller angelinajolie jessebradford iainsoftley iainsoftley iainsoftley action crime thriller drama
tt0113464,Jeffrey,gay aid basedonplayormus hivposit stevenweber patrickstewart michaelt.weiss christopherashley christopherashley christopherashley comedy drama romance
tt0113481,Johnny Mnemonic,brain childhoodmemori dystopia pharmaceuticalindustri computerchip cyberpunk keanureeves dinameyer takeshikitano robertlongo robertlongo robertlongo adventure action drama sciencefiction thriller
tt0113492,Judge Dredd,judg post-apocalypt dystopia basedoncom policeoffic basedongraphicnovel frameup dystopicfutur framedformurd dredd 2000ad sylvesterstallone dianelane armandassante dannycannon dannycannon dannycannon sciencefiction
tt0113500,Jury Duty,stripper juri jurist independentfilm paulyshore tiacarrere stanleytucci johnfortenberry johnfortenberry johnfortenberry comedy drama
tt0113540,Kids,puberti firsttim leofitzpatrick rosariodawson chloësevigny larryclark larryclark larryclark drama crime
tt0113677,Living in Oblivion,cinema independentfilm filmmak stevebuscemi catherinekeener dermotmulroney tomdicillo tomdicillo tomdicillo drama comedy
tt0113690,Lord of Illusions,fanat supernatur wizardri resurrect sect occult scottbakula kevinj.o'connor famkejanssen clivebarker clivebarker clivebarker mystery horror thriller
tt0107447,Love & Human Remains,thomasgibson ruthmarshall cameronbancroft denysarcand denysarcand denysarcand comedy drama
tt0113729,Mad Love,suicideattempt colleg teenangst mentalil womandirector chriso'donnell drewbarrymore matthewlillard antoniabird antoniabird antoniabird drama family romance
tt0113749,Mallrats,sex gameshow slacker mall ex-boyfriendex-girlfriendrelationship jayandsilentbob aftercreditssting jasonlee jeremylondon shannendoherty kevinsmith kevinsmith kevinsmith romance comedy
tt0113820,Mighty Morphin Power Rangers: The Movie,basedontvseri tokusatsu superheroteam amyjojohnson jasondavidfrank davidyost bryanspicer bryanspicer bryanspicer action adventure sciencefiction family fantasy
tt0110604,Mute Witness,chase polic murder mute marinazudina fayripley evanrichards anthonywaller anthonywaller anthonywaller thriller foreign
tt0110620,Nadja,newyork vampir dracula elinalöwensohn peterfonda davidlynch michaelalmereyda michaelalmereyda michaelalmereyda horror thriller
tt0113957,The Net,cheat newident computervirus chase comput stalk sandrabullock jeremynortham dennismiller irwinwinkler irwinwinkler irwinwinkler crime drama mystery thriller action
tt0113986,Nine Months,parentchildrelationship babi marriag pregnanc childwish hughgrant juliannemoore tomarnold chriscolumbus chriscolumbus chriscolumbus comedy
tt0114095,Party Girl,librari parti independentfilm freespirit womandirector librarian parkerposey lievschreiber anthonydesando daisyvonscherlermayer daisyvonscherlermayer daisyvonscherlermayer comedy
tt0114194,The Prophecy,angel archangelgabriel christopherwalken eliaskoteas virginiamadsen gregorywiden gregorywiden gregorywiden fantasy horror thriller
tt0114241,Reckless,trauma gameshow femaleprotagonist christma miafarrow tonygoldwyn scottglenn normanrené normanrené normanrené fantasy comedy drama
tt0114323,Safe,sex chemic medicin housewif pollut quarantin independentfilm allergi psychiatrist ill disord retreat juliannemoore xanderberkeley deannorris toddhaynes toddhaynes toddhaynes drama
tt0114345,The Scarlet Letter,basedonnovel burningofwitch pregnanc perioddrama extramaritalaffair demimoore garyoldman robertduvall rolandjoffé rolandjoffé rolandjoffé drama history romance
